,마약,향정,대마,합계
2000,954,7066,2284,10304
2001,661,7959,1482,10102
2002,790,7918,1965,10673
2003,1211,4727,1608,7546
2004,1203,5313,1231,7747
2005,768,5354,1032,7154
2006,868,6006,835,7709
2007,958,8521,1170,10649
2008,1396,7457,1045,9898
2009,2198,7965,1712,11875
2010,1124,6771,1837,9732
2011,759,7226,1189,9174
2012,582,7631,1042,9255
2013,685,7902,1177,9764
2014,676,8121,1187,9984
2015,1153,9624,1139,11916
2016,1383,11396,1435,14214
2017,1475,10921,1727,14123
2018,1467,9613,1533,12613
2019,1804,11611,2629,16044
2020,2198,12640,3212,18050
2021,1745,10631,3777,16153
2022,2551,12035,3809,18395
2023,3970,19556,4085,27611
2024,1954,17751,3317,23022
