"시도별(1)",시도별(2),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"전국",소계,63.151,65.719,67.534,69.908,72.418,74.413,76.081,78.010,81.656,83.906,86.373,89.850,91.815,93.010,94.196,94.861,95.783,97.645,99.086,99.466,100.00,102.50,107.72,111.59
"전국",서울특별시,61.828,64.512,66.640,69.180,71.874,73.755,75.279,77.252,80.466,82.838,85.162,88.412,90.605,91.869,93.300,94.470,95.585,97.494,98.799,99.382,100.00,102.10,106.69,110.88
"전국",부산광역시,62.710,65.291,66.963,69.366,71.462,73.441,75.063,76.906,80.547,82.996,85.550,89.363,91.502,92.852,94.019,94.807,95.929,97.639,99.343,99.824,100.00,102.46,107.35,111.33
"전국",대구광역시,63.668,66.061,67.653,69.886,71.945,73.796,75.481,77.264,80.979,82.885,85.229,88.766,90.939,92.442,93.769,94.464,95.412,97.358,99.047,99.710,100.00,102.64,108.02,111.79
"전국",인천광역시,63.585,66.356,68.067,70.250,72.692,74.541,76.324,78.100,81.945,84.132,86.796,89.761,91.542,92.533,93.832,94.760,95.571,97.383,98.960,99.222,100.00,102.62,107.96,111.92
"전국",광주광역시,63.967,66.312,67.756,69.985,72.948,75.166,76.851,78.855,82.595,84.681,87.173,90.726,92.347,93.540,95.041,95.306,96.180,98.191,99.345,99.564,100.00,102.57,107.79,111.76
"전국",대전광역시,64.723,67.198,68.773,70.941,73.648,75.800,77.733,79.641,83.393,85.288,87.896,91.837,93.669,94.592,95.459,95.648,96.297,97.894,99.412,99.622,100.00,102.50,107.52,111.24
"전국",울산광역시,63.407,65.917,67.623,69.927,72.596,74.823,76.875,79.064,83.180,85.113,87.815,91.313,93.272,94.688,95.812,96.251,97.205,99.006,100.026,99.705,100.00,102.49,107.57,111.43
"전국",세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.00,102.71,108.23,111.46
"전국",경기도,62.912,65.528,67.577,69.868,72.280,74.284,76.097,78.004,81.767,84.138,86.546,89.871,91.769,92.890,94.038,94.734,95.624,97.545,98.994,99.396,100.00,102.57,107.72,111.55
"전국",강원특별자치도,64.074,66.519,67.715,70.049,72.745,75.324,77.038,78.833,83.026,84.602,87.156,90.933,92.692,93.697,94.334,94.369,95.110,97.013,98.557,99.384,100.00,102.80,108.98,112.99
"전국",충청북도,64.456,66.776,67.953,70.353,72.684,74.962,76.661,78.748,82.789,84.806,87.300,91.148,92.938,94.104,95.220,95.073,95.613,97.524,99.122,99.487,100.00,102.69,108.52,112.39
"전국",충청남도,64.099,66.390,67.795,70.279,73.019,75.363,77.291,79.220,83.120,85.387,87.954,91.561,93.753,94.867,95.309,95.515,96.171,98.036,99.437,99.343,100.00,102.77,108.74,112.35
"전국",전북특별자치도,63.922,66.394,67.720,70.037,72.743,74.746,76.378,78.253,82.090,84.482,87.250,91.066,93.051,94.173,95.233,95.205,95.718,97.492,99.158,99.467,100.00,102.59,108.06,111.62
"전국",전라남도,64.454,66.650,67.993,70.131,72.596,74.513,76.066,77.947,81.673,83.952,86.753,90.635,92.434,93.687,94.627,94.595,95.486,97.508,98.971,99.300,100.00,102.62,108.43,112.21
"전국",경상북도,65.734,68.040,69.240,71.015,73.414,75.593,77.345,79.241,83.437,85.409,88.111,91.863,93.713,94.798,95.758,95.795,96.452,98.240,99.703,99.875,100.00,102.74,108.74,112.39
"전국",경상남도,63.845,66.331,67.986,70.449,72.699,74.616,76.108,77.899,81.878,84.271,87.111,90.778,92.520,93.723,94.997,95.521,96.405,97.952,99.304,99.385,100.00,102.53,107.98,111.76
"전국",제주특별자치도,64.358,66.288,68.182,70.402,73.223,75.058,76.503,78.135,82.131,83.620,86.446,90.156,91.257,92.519,93.550,94.149,95.366,97.553,99.252,99.574,100.00,102.63,108.71,111.95
