"시도별","성별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"계","계",4.4,4.0,3.3,3.6,3.7,3.7,3.5,3.2,3.2,3.6,3.7,3.4,3.2,3.1,3.5,3.6,3.7,3.7,3.8,3.8,4.0,3.7,2.9,2.7
"계","남자",5.0,4.5,3.6,3.8,3.9,4.0,3.9,3.7,3.6,4.1,4.0,3.6,3.4,3.3,3.5,3.6,3.8,3.8,3.9,3.9,3.9,3.6,2.7,2.6
"계","여자",3.6,3.3,2.7,3.3,3.4,3.4,3.0,2.7,2.6,3.0,3.3,3.1,3.0,2.8,3.5,3.5,3.6,3.5,3.7,3.6,4.0,3.8,3.1,2.8
"서울특별시","계",5.1,4.8,4.3,4.6,4.7,4.8,4.6,4.1,3.9,4.5,4.7,4.5,4.2,3.9,4.4,4.2,4.2,4.5,4.8,4.4,4.6,4.8,3.4,2.7
"서울특별시","남자",5.7,5.2,4.8,4.8,5.0,5.0,4.9,4.6,4.4,5.2,5.4,5.0,4.6,4.2,4.4,4.3,4.2,4.7,4.9,4.6,4.3,4.7,3.4,2.5
"서울특별시","여자",4.2,4.2,3.6,4.3,4.3,4.6,4.1,3.3,3.3,3.5,3.8,3.9,3.7,3.6,4.4,4.1,4.2,4.3,4.6,4.1,4.9,5.0,3.4,3.0
"부산광역시","계",7.1,5.7,3.9,4.1,4.4,4.4,4.2,4.0,3.8,4.3,3.6,3.6,3.9,3.8,3.8,4.1,3.9,4.6,4.1,3.7,4.2,3.4,3.0,3.1
"부산광역시","남자",8.1,6.6,4.5,4.3,4.9,5.3,5.0,4.4,4.2,4.9,4.1,4.1,4.5,4.4,4.4,4.2,4.2,4.4,4.5,3.8,4.4,3.4,3.0,2.7
"부산광역시","여자",5.7,4.3,3.2,3.8,3.7,3.3,3.2,3.4,3.3,3.5,2.9,3.0,3.0,3.1,3.0,3.9,3.5,4.8,3.7,3.7,4.0,3.3,2.9,3.7
"대구광역시","계",4.9,4.8,4.2,4.4,4.2,4.3,3.7,3.6,3.7,4.3,4.0,3.7,3.3,3.3,3.8,3.5,4.1,4.0,4.4,3.7,3.9,3.7,2.9,3.1
"대구광역시","남자",5.9,6.0,5.0,4.8,4.3,4.7,4.4,3.8,4.1,4.7,4.2,4.5,3.6,3.6,3.5,3.5,4.3,4.2,4.8,3.8,3.8,3.7,2.6,3.0
"대구광역시","여자",3.4,3.3,3.1,3.9,4.2,3.7,2.9,3.2,3.0,3.8,3.8,2.7,2.8,2.9,4.2,3.5,3.9,3.8,3.8,3.5,3.9,3.8,3.4,3.1
"인천광역시","계",5.4,4.7,4.0,4.4,4.5,4.5,4.4,4.0,3.9,4.5,5.0,4.7,4.5,4.1,4.7,5.0,4.9,4.6,4.3,4.4,4.6,4.0,3.3,3.2
"인천광역시","남자",5.5,5.1,4.3,4.7,4.8,4.9,5.0,4.2,4.2,5.0,5.1,4.8,4.5,4.4,4.4,5.2,5.2,5.3,4.3,4.4,4.4,4.2,3.3,3.1
"인천광역시","여자",5.3,4.0,3.5,3.8,4.1,3.9,3.5,3.7,3.5,3.9,5.0,4.6,4.5,3.8,5.1,4.8,4.5,3.8,4.2,4.3,4.7,3.8,3.4,3.3
"광주광역시","계",6.5,5.1,3.8,4.6,4.3,4.4,4.2,4.0,3.8,3.8,3.5,3.1,2.7,2.8,2.8,2.9,3.1,2.9,3.8,3.7,3.9,3.6,2.9,2.5
"광주광역시","남자",7.2,5.7,4.3,5.1,4.8,4.9,5.0,4.9,4.5,4.1,3.8,3.4,2.9,3.4,3.1,2.9,3.2,3.2,4.1,3.5,4.0,3.4,2.7,2.6
"광주광역시","여자",5.6,4.2,3.3,4.0,3.5,3.6,3.2,2.9,2.9,3.4,3.1,2.6,2.3,2.1,2.4,3.0,2.9,2.4,3.4,3.9,3.7,3.7,3.2,2.5
"대전광역시","계",4.8,4.5,3.8,3.8,4.2,4.5,4.5,4.1,3.7,3.7,3.7,3.6,3.7,3.0,3.4,3.4,3.2,3.4,4.2,4.2,4.4,3.3,2.4,2.8
"대전광역시","남자",5.4,5.0,4.1,3.5,4.1,4.5,4.7,4.6,4.1,4.4,3.4,3.0,3.6,3.2,3.5,3.7,3.3,3.5,4.4,4.5,4.4,3.1,2.0,2.9
"대전광역시","여자",3.9,3.7,3.5,4.3,4.3,4.4,4.3,3.4,3.0,2.7,4.0,4.6,3.8,2.7,3.1,3.0,3.2,3.3,4.1,3.9,4.4,3.5,2.8,2.7
"울산광역시","계",4.3,3.4,2.5,3.2,3.5,3.4,2.8,2.5,3.4,4.1,3.5,2.7,2.6,2.1,2.7,2.9,3.8,3.5,4.6,4.2,4.2,3.6,3.2,3.4
"울산광역시","남자",4.4,3.2,2.4,3.1,3.3,3.2,2.6,2.3,3.5,4.0,3.7,2.9,2.2,2.1,2.7,2.7,4.3,3.8,4.9,4.5,4.1,3.4,3.0,3.3
"울산광역시","여자",4.0,3.9,2.6,3.3,4.1,3.7,3.1,2.8,3.2,4.2,3.1,2.4,3.2,2.3,2.7,3.2,2.9,3.0,4.1,3.7,4.5,3.9,3.5,3.6
"세종특별자치시","계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.3,2.3,2.7,2.8,2.1,2.0,2.0
"세종특별자치시","남자",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.3,1.7,2.4,2.5,1.8,2.0,1.4
"세종특별자치시","여자",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,3.1,3.1,3.0,2.4,1.9,2.9
"경기도","계",3.9,3.5,2.8,3.4,3.6,3.8,3.5,3.3,3.2,3.8,4.0,3.4,3.3,3.0,3.3,3.9,3.9,3.9,3.8,3.8,4.0,3.7,2.7,2.6
"경기도","남자",4.0,3.8,2.8,3.4,3.7,3.9,3.8,3.8,3.6,4.1,4.1,3.5,3.4,3.0,3.3,3.9,3.8,3.9,3.8,3.9,4.0,3.4,2.4,2.8
"경기도","여자",3.7,3.2,2.7,3.3,3.4,3.8,3.1,2.5,2.5,3.2,3.8,3.4,3.1,2.8,3.4,3.9,4.1,3.8,3.7,3.6,3.9,4.0,3.1,2.3
"강원특별자치도","계",2.6,2.3,1.8,2.0,2.1,1.8,1.3,1.9,1.7,2.1,2.6,2.2,2.5,2.3,3.1,3.2,2.8,2.6,2.9,3.6,3.9,3.6,3.2,2.8
"강원특별자치도","남자",3.0,2.8,2.0,2.1,1.8,1.8,1.7,2.2,2.0,2.3,3.0,2.3,2.5,2.2,3.0,3.4,2.8,2.3,3.0,3.5,3.6,3.3,2.8,2.4
"강원특별자치도","여자",2.2,1.6,1.5,2.0,2.5,1.7,0.8,1.4,1.3,1.8,2.0,2.1,2.5,2.4,3.1,2.9,2.8,2.9,2.9,3.7,4.4,4.0,3.6,3.2
"충청북도","계",3.6,3.4,2.5,3.1,2.7,2.3,2.2,2.3,2.2,2.1,2.2,2.4,2.0,2.0,3.0,2.6,2.6,2.2,2.4,3.1,3.2,2.5,2.5,2.3
"충청북도","남자",4.2,3.7,2.7,3.4,3.0,2.4,2.6,2.5,2.2,2.5,2.3,2.3,2.3,2.2,2.9,2.6,2.5,2.1,2.2,3.3,3.3,2.6,2.5,2.1
"충청북도","여자",2.7,2.9,2.2,2.7,2.4,2.3,1.8,1.9,2.2,1.6,2.1,2.6,1.6,1.9,3.1,2.6,2.9,2.4,2.8,2.7,3.0,2.4,2.3,2.6
"충청남도","계",2.8,2.9,2.7,2.9,2.4,2.7,2.5,2.4,2.5,3.1,3.0,2.4,2.3,2.8,3.3,3.5,3.2,2.8,3.1,2.9,3.5,2.3,2.3,2.6
"충청남도","남자",3.5,3.4,3.4,3.1,2.5,2.6,2.6,2.4,2.5,3.6,3.2,2.5,2.2,2.9,3.2,3.3,3.0,2.8,3.0,2.6,3.2,2.3,2.3,2.4
"충청남도","여자",1.8,2.3,1.7,2.7,2.1,3.0,2.4,2.3,2.4,2.4,2.6,2.3,2.4,2.5,3.6,3.7,3.4,2.9,3.2,3.2,3.8,2.2,2.3,2.9
"전북특별자치도","계",3.1,3.2,2.5,2.7,2.8,2.5,2.6,2.4,2.2,2.0,2.2,2.3,2.0,2.0,2.5,1.7,2.1,2.5,2.7,2.7,2.5,2.2,2.4,2.5
"전북특별자치도","남자",3.5,3.8,3.0,3.0,3.0,3.3,3.5,2.8,2.5,2.2,2.5,2.6,2.3,2.1,2.5,1.4,2.4,2.7,3.1,3.1,2.6,2.1,2.5,2.5
"전북특별자치도","여자",2.5,2.3,1.8,2.4,2.5,1.4,1.5,1.7,1.9,1.6,1.9,2.0,1.7,1.8,2.4,2.1,1.6,2.2,2.2,2.2,2.4,2.3,2.3,2.5
"전라남도","계",3.3,3.0,2.3,2.3,2.4,2.3,1.7,1.8,2.0,1.6,2.1,2.0,1.6,2.1,2.9,2.5,3.0,3.2,2.8,2.6,2.4,2.3,2.2,2.2
"전라남도","남자",4.0,3.4,2.8,2.5,2.7,2.7,2.0,2.1,2.6,1.9,2.1,2.2,1.6,2.4,3.3,3.0,3.8,3.3,3.0,2.6,2.3,2.3,2.1,1.8
"전라남도","여자",2.3,2.6,1.6,2.1,2.1,1.8,1.3,1.3,1.4,1.3,2.2,1.8,1.6,1.8,2.4,1.9,1.9,2.9,2.5,2.4,2.4,2.3,2.4,2.7
"경상북도","계",3.4,2.7,2.2,2.2,2.6,2.5,2.4,2.1,2.1,2.7,2.8,2.6,2.5,3.1,2.9,3.0,3.2,2.8,4.1,3.9,4.0,3.2,2.5,2.6
"경상북도","남자",4.2,3.2,2.5,2.7,3.0,3.0,2.7,2.2,2.6,3.1,2.8,2.8,2.8,3.3,3.0,3.2,3.1,2.7,4.1,4.3,4.2,3.5,2.4,2.6
"경상북도","여자",2.3,2.1,1.8,1.7,2.1,1.7,1.9,1.9,1.5,2.3,2.7,2.2,2.3,2.9,2.8,2.8,3.2,2.9,4.2,3.3,3.9,2.8,2.6,2.6
"경상남도","계",3.5,3.3,2.5,2.5,2.4,2.6,2.3,2.4,2.2,3.1,2.8,2.2,1.8,2.1,2.5,2.6,3.3,2.9,3.0,3.8,4.0,4.1,3.3,2.5
