"시도별","연령계층별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"계","15 - 29세",43.4,44.0,45.2,44.6,45.4,45.0,43.8,43.2,41.9,40.6,40.4,40.4,40.3,39.5,40.5,41.2,41.7,42.1,42.7,43.5,42.2,44.2,46.6,46.5
"서울특별시","15 - 29세",47.2,47.3,47.5,48.2,49.3,49.9,48.4,48.7,47.1,44.9,44.2,45.5,43.9,42.7,42.9,43.8,44.6,45.3,46.1,47.5,46.6,50.5,51.5,51.8
"부산광역시","15 - 29세",39.6,40.3,44.3,40.9,41.3,41.2,41.0,40.0,39.3,37.0,34.7,34.8,38.4,37.3,38.2,38.8,40.3,41.2,40.4,42.9,40.5,41.2,42.0,43.9
"대구광역시","15 - 29세",40.2,40.8,43.6,41.4,43.3,42.6,39.5,38.5,38.2,37.8,38.2,38.1,37.6,35.7,37.4,39.3,38.3,35.2,36.3,39.8,37.8,42.6,41.3,42.3
"인천광역시","15 - 29세",44.9,46.3,46.1,45.5,46.9,45.2,44.8,44.2,43.8,43.9,43.7,42.8,42.9,41.3,41.5,42.2,44.4,45.1,47.9,48.8,46.8,46.9,50.6,49.2
"광주광역시","15 - 29세",37.9,39.7,40.5,38.3,38.1,37.9,36.2,36.4,36.4,37.0,37.9,37.3,35.5,33.9,36.7,35.3,34.1,36.3,39.4,39.6,39.6,37.3,38.8,38.9
"대전광역시","15 - 29세",39.9,40.4,43.3,42.7,41.4,40.5,41.7,40.0,38.5,37.2,37.5,37.1,36.5,36.9,39.2,38.9,41.1,40.2,38.1,40.6,44.7,45.0,48.0,44.4
"울산광역시","15 - 29세",42.5,42.3,45.8,45.1,45.6,43.3,40.0,41.6,41.9,40.3,39.9,39.0,37.4,37.7,38.5,38.3,38.7,40.9,40.4,39.1,37.6,36.5,40.5,40.3
"세종특별자치시","15 - 29세",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.5,38.1,35.1,36.6,35.1,33.9,33.1
"경기도","15 - 29세",47.0,47.3,48.5,46.6,47.5,47.5,45.9,44.5,42.8,41.2,41.7,41.8,42.1,41.3,42.4,43.9,44.0,44.8,45.3,45.4,43.1,45.5,50.0,49.9
"강원도","15 - 29세",39.5,39.1,40.7,39.5,40.9,40.7,40.3,37.3,38.5,38.4,37.3,36.3,35.6,34.3,33.3,33.3,35.6,41.2,42.4,42.4,40.8,40.2,40.0,43.6
"충청북도","15 - 29세",41.0,40.8,41.1,39.8,40.0,41.4,39.4,36.3,35.2,37.2,38.1,38.6,36.4,38.9,41.6,41.6,42.0,43.4,45.5,43.5,43.4,46.2,49.4,47.9
"충청남도","15 - 29세",40.6,42.8,45.3,44.5,46.7,44.7,46.8,46.2,42.3,40.3,43.4,43.3,43.0,42.0,42.5,44.0,42.5,40.4,43.7,45.1,42.0,42.4,45.2,44.7
"전라북도","15 - 29세",37.1,37.0,36.8,38.2,37.3,35.8,33.1,34.9,33.6,30.6,31.5,30.4,33.0,34.9,35.4,34.8,33.8,32.7,31.7,32.7,31.5,36.5,38.6,38.8
"전라남도","15 - 29세",37.2,39.6,41.5,43.1,42.1,41.2,41.6,40.3,37.9,38.5,36.5,36.2,36.1,38.0,36.6,36.9,36.7,35.8,36.6,37.4,37.9,37.2,40.1,39.4
"경상북도","15 - 29세",42.5,44.1,44.5,44.5,44.6,45.3,43.1,42.6,41.3,39.1,39.9,37.8,38.3,36.9,42.1,41.1,40.0,39.4,37.3,38.7,38.0,38.7,42.1,39.2
"경상남도","15 - 29세",42.2,42.7,41.6,43.0,44.5,40.6,38.6,39.3,39.0,39.8,36.8,37.6,37.1,36.4,36.0,36.9,40.0,39.0,38.7,39.3,37.7,39.4,39.9,39.0
"제주도","15 - 29세",48.4,48.5,49.1,52.3,49.5,51.3,51.9,49.5,47.9,44.4,39.4,41.2,42.2,41.4,41.9,43.2,46.5,47.8,45.9,43.7,41.6,42.6,47.5,46.4
