"행정구역별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"전국",8.1,7.9,7.0,8.0,8.2,8.0,7.9,7.2,7.1,8.0,7.9,7.6,7.5,8.0,9.0,9.1,9.8,9.8,9.5,8.9,9.0,7.8,6.4,5.9
"서울특별시",8.1,8.4,8.2,8.8,8.9,8.9,8.8,7.4,7.6,8.1,8.4,8.3,8.3,8.7,10.4,9.3,10.3,10.1,10.1,8.8,9.1,9.0,6.8,5.1
"부산광역시",12.1,10.7,7.6,9.0,9.9,8.8,8.2,8.3,8.1,9.0,8.9,8.8,8.7,8.8,9.0,9.7,9.9,11.5,9.5,9.1,10.6,7.7,6.8,8.1
"대구광역시",9.1,9.8,9.2,9.8,8.6,8.7,9.5,8.9,8.9,9.8,9.2,8.1,8.0,9.9,11.5,10.1,12.0,11.5,12.2,8.3,9.0,7.1,6.9,6.3
"인천광역시",8.2,8.2,7.9,8.8,8.3,8.3,9.2,8.3,7.7,8.2,8.5,10.0,10.4,9.3,12.1,11.8,11.5,10.5,9.2,9.0,8.6,7.9,6.7,6.5
"광주광역시",12.0,9.4,7.6,10.8,9.5,9.6,10.8,10.0,8.6,7.7,8.6,6.7,7.6,7.4,6.8,7.6,9.8,7.5,8.6,9.7,8.8,7.7,6.5,5.6
"대전광역시",9.3,9.2,7.8,7.0,9.3,9.3,9.3,8.8,7.8,8.3,8.6,8.1,8.9,7.3,7.8,8.9,8.2,7.7,10.5,9.6,7.7,6.9,4.4,6.0
"울산광역시",8.3,7.6,5.0,7.5,8.0,8.0,7.1,6.0,7.4,8.2,7.1,5.7,7.4,6.7,8.0,9.3,11.1,8.5,9.8,8.8,11.6,8.0,7.8,9.7
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.2,5.9,8.7,7.7,3.9,3.1,6.4
"경기도",6.2,5.8,4.9,7.3,7.6,7.5,6.9,6.5,6.5,8.4,8.3,7.3,6.9,7.3,8.3,9.0,9.8,10.5,9.0,8.7,8.6,7.6,6.1,4.7
"강원특별자치도",5.7,4.5,4.8,5.9,6.4,4.9,3.8,6.4,4.6,6.2,5.9,5.1,6.6,7.1,10.3,12.6,10.1,8.0,5.2,7.8,8.6,8.1,7.5,5.2
"충청북도",7.2,7.8,7.2,7.2,8.0,6.5,6.7,7.0,7.0,6.2,5.3,6.3,6.6,6.8,8.8,7.2,6.4,6.5,7.0,8.0,8.1,6.0,5.5,5.4
"충청남도",7.2,8.7,6.9,7.6,6.6,7.5,6.1,5.7,6.3,8.1,6.7,6.3,5.4,8.6,8.4,8.3,8.9,9.8,9.0,8.2,8.5,4.9,5.1,7.9
"전북특별자치도",9.0,9.7,8.3,8.3,9.5,6.9,10.2,6.8,7.6,8.1,7.0,8.2,6.8,6.4,6.3,5.7,9.4,9.3,10.0,9.3,9.1,5.9,6.6,9.0
"전라남도",8.9,8.1,7.3,7.5,8.1,7.3,5.8,5.8,6.9,5.3,6.6,6.8,5.4,7.0,9.5,8.5,10.5,9.7,10.0,9.9,7.0,6.9,6.3,7.8
"경상북도",8.8,7.0,5.8,6.6,7.4,6.7,8.6,6.8,6.6,7.6,6.8,7.7,6.8,10.6,7.7,8.8,10.3,9.5,12.0,11.2,10.5,8.0,7.4,7.6
"경상남도",5.9,6.4,6.0,5.8,5.9,6.4,6.3,6.4,5.7,7.0,6.4,5.9,5.9,5.8,7.0,8.6,8.4,8.6,9.6,10.3,10.1,8.5,6.9,6.2
"제주특별자치도",5.5,5.1,5.5,4.9,6.4,6.0,5.1,5.3,3.9,4.0,5.0,4.5,5.3,5.7,6.0,5.1,5.4,5.7,5.1,5.3,6.8,7.8,5.1,4.0
