"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2025,2025,2025,2025,2025,2025,2025
"행정구역별(1)","특성별(1)",특성별(2),계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족,계,소득 있음,- 매우 만족,- 약간 만족,- 보통,- 약간 불만족,- 매우 불만족
"전국","전체",계,100.0,65.9,1.5,12.5,39.3,33.2,13.4,100.0,72.3,1.5,10.3,39.2,35.7,13.4,100.0,76.4,1.5,10.5,39.0,34.8,14.1,100.0,78.5,1.6,9.8,42.3,33.7,12.6,100.0,82.1,1.8,11.5,40.7,32.8,13.2,100.0,83.1,2.0,12.1,42.4,31.8,11.8,100.0,83.9,3.0,20.4,34.3,27.7,14.5,100.0,78.2,3.2,24.9,32.0,25.6,14.2,100.0,84.5,3.7,24.3,34.4,24.7,12.9
"전국","성별",남자,100.0,79.0,1.5,13.2,39.3,32.7,13.3,100.0,86.3,1.3,9.9,39.2,36.3,13.4,100.0,88.5,1.5,10.7,39.0,34.6,14.1,100.0,88.9,1.6,10.2,42.1,33.7,12.4,100.0,91.4,1.7,12.2,41.0,32.0,13.1,100.0,91.4,2.0,12.7,42.0,31.6,11.6,100.0,90.7,2.9,20.5,33.1,28.3,15.2,100.0,86.1,3.0,25.6,31.9,25.5,14.1,100.0,90.9,4.0,25.2,33.6,24.6,12.6
"전국","성별",여자,100.0,53.2,1.6,11.5,39.5,33.8,13.7,100.0,59.0,1.7,10.8,39.2,34.8,13.4,100.0,64.9,1.5,10.3,38.9,35.2,14.1,100.0,68.5,1.5,9.4,42.6,33.7,12.8,100.0,73.1,2.0,10.6,40.5,33.6,13.3,100.0,74.9,2.0,11.3,42.9,31.9,11.9,100.0,77.3,3.2,20.4,35.6,27.0,13.8,100.0,70.5,3.5,24.2,32.3,25.8,14.3,100.0,78.2,3.4,23.2,35.3,24.9,13.1
"서울특별시","전체",계,100.0,64.8,1.7,14.3,40.4,30.8,12.8,100.0,74.2,1.7,11.9,39.9,32.3,14.2,100.0,74.7,1.3,10.9,37.4,34.1,16.3,100.0,77.6,2.0,11.0,39.6,33.6,13.8,100.0,81.1,2.3,14.3,39.0,29.1,15.3,100.0,86.4,1.9,12.2,40.3,32.9,12.8,100.0,85.8,3.3,19.1,33.1,29.0,15.5,100.0,80.1,3.3,25.7,30.1,26.4,14.6,100.0,83.2,3.5,23.6,30.3,25.4,17.3
"서울특별시","성별",남자,100.0,76.8,1.8,14.6,40.6,30.7,12.3,100.0,85.3,1.6,11.2,40.2,32.7,14.3,100.0,85.7,1.2,11.0,37.4,34.0,16.3,100.0,86.3,2.3,11.5,40.2,32.1,13.9,100.0,90.0,2.3,15.6,37.4,28.8,16.0,100.0,92.9,2.2,13.2,39.0,32.9,12.7,100.0,89.6,3.1,18.2,32.5,30.2,16.0,100.0,86.3,2.9,26.9,29.5,25.7,15.1,100.0,89.0,3.5,24.4,30.1,25.4,16.6
"서울특별시","성별",여자,100.0,53.6,1.5,13.9,40.2,30.9,13.5,100.0,63.8,1.9,12.8,39.5,31.7,14.1,100.0,64.4,1.4,10.8,37.4,34.2,16.3,100.0,69.7,1.7,10.4,38.9,35.3,13.7,100.0,73.0,2.3,12.8,40.9,29.5,14.6,100.0,80.5,1.6,11.1,41.7,32.8,12.8,100.0,82.3,3.6,19.9,33.7,27.9,14.9,100.0,74.4,3.7,24.3,30.8,27.1,14.0,100.0,77.9,3.5,22.8,30.4,25.4,18.0
"부산광역시","전체",계,100.0,66.4,1.1,10.4,32.6,36.4,19.6,100.0,74.4,2.0,10.0,36.3,38.7,13.1,100.0,77.1,1.2,10.4,39.1,34.5,14.7,100.0,78.1,1.1,7.5,42.4,36.0,12.9,100.0,78.4,2.0,7.8,40.5,36.6,13.2,100.0,81.1,1.2,10.9,41.1,36.0,10.8,100.0,85.0,1.8,17.9,37.9,25.7,16.7,100.0,75.5,2.6,26.6,30.8,26.4,13.6,100.0,85.0,3.8,23.9,38.5,23.3,10.5
"부산광역시","성별",남자,100.0,78.0,0.9,11.4,32.7,36.4,18.5,100.0,87.9,1.7,9.4,35.0,39.3,14.6,100.0,88.5,1.2,10.0,37.8,35.3,15.7,100.0,87.4,1.3,6.4,43.6,35.7,13.0,100.0,90.3,2.4,6.9,40.7,36.4,13.5,100.0,89.4,0.6,11.1,40.0,37.0,11.2,100.0,90.5,2.1,18.0,36.4,25.9,17.6,100.0,84.1,2.8,26.4,29.8,26.9,14.2,100.0,90.0,4.5,25.0,36.5,23.5,10.5
